geopy location,coordinates
"1, Yavapai County, Arizona, United States","(34.82989945, -111.89601769693877)"
"Bagdad, Yavapai County, Arizona, 86321, United States","(34.57774, -113.17428445757577)"
"Red Rock / Tsé Łichííʼ Dah Azkání, Apache County, Arizona, 86544, United States","(36.6044451, -109.060653)"
"Joseph City, Navajo County, Arizona, United States","(34.9558585, -110.3339982)"
"Forest Lakes, Coconino County, Arizona, United States","(34.34438285, -110.82314153839765)"
"Holbrook, Navajo County, Arizona, United States","(34.9037063, -110.159316)"
"Bouse, La Paz County, Arizona, United States","(33.9325235, -114.0057748)"
"Peeples Valley, Yavapai County, Arizona, 86332, United States","(34.2734445, -112.76798898878505)"
"Cordes Lakes, Yavapai County, Arizona, United States","(34.308957500000005, -112.1086067691474)"
"Aguila, Maricopa County, Arizona, 85320, United States","(33.939258, -113.16563136721928)"
"Strawberry, Gila County, Arizona, United States","(34.4014435, -111.50706234594041)"
"Coolidge, Pinal County, Arizona, 85128, United States","(32.977839, -111.517624)"
"Anthem, Maricopa County, Arizona, United States","(33.857492, -112.11359410473517)"
"Miami, Gila County, Arizona, 85539, United States","(33.3994776, -110.87095)"
"Valley Farms, Pinal County, Arizona, 85191, United States","(32.9883955, -111.447344)"
"Grand Canyon, Coconino County, Arizona, United States","(36.0965604, -112.0984941)"
"Naco, Cochise County, Arizona, 85620, United States","(31.342529, -109.93635567470514)"
"Jerome, Yavapai County, Arizona, 86331, United States","(34.7471253, -112.10712645033253)"
"San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
"Arlington, Maricopa County, Arizona, United States","(33.3355685, -112.77438211284098)"
"Bellemont, Coconino County, Arizona, 86051, United States","(35.2380657, -111.8334974)"
"Munds Park, Coconino County, Arizona, 86017, United States","(34.945574, -111.6401551)"
"Tuba City, Coconino County, Arizona, 86045, United States","(36.123307, -111.24218755955015)"
"Gadsden, Yuma County, Arizona, United States","(32.5561275, -114.78072489613432)"
"Maricopa County, Arizona, United States","(33.34883, -112.49123)"
"Second Mesa, Navajo County, Arizona, 86043, United States","(35.834238049999996, -110.50142536730436)"
nan
"Hotevilla / Hotvela, Navajo County, Arizona, United States","(35.9275987, -110.671333)"
"Lake Montezuma, Rimrock, Yavapai County, Arizona, United States","(34.6426115, -111.79130678729283)"
"Gooyear Recreation Campus, Goodyear, Maricopa County, Arizona, 85338, United States","(33.440115250000005, -112.3951371703088)"
nan
nan
"Humboldt, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5009866, -112.2392022)"
"Camp Verde, Yavapai County, Arizona, United States","(34.5636358, -111.854317)"
nan
nan
"Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.513844500000005, -112.25601135833293)"
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"Wittmann, Maricopa County, Arizona, 85361, United States","(33.7782918, -112.5297624)"
nan
"Star Valley, Gila County, Arizona, United States","(34.261223, -111.23836180266304)"
"Old Winkleman Road, Gila County, Arizona, United States","(33.3321885, -110.7093297)"
"Peoria, Maricopa County, Arizona, 85345, United States","(33.5806115, -112.237294)"
"Holiday Inn Express Showlow, West Deuce of Clubs, Show Low, Navajo County, Arizona, 85901, United States","(34.2491663, -110.044115)"
"Spring Valley, Yavapai County, Arizona, United States","(34.350291999999996, -112.15076984118615)"
"Chino Valley, Yavapai County, Arizona, 86323, United States","(34.78357, -112.43035972408359)"
nan
"Dewey, Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.5275895, -112.2420702)"
"Palo Verde, Maricopa County, Arizona, 85343, United States","(33.3487145, -112.6774657)"
"Las Brisas, Chandler, Maricopa County, Arizona, United States","(33.28140165, -111.86114096479645)"
"Tempe, Maricopa County, Arizona, United States","(33.4255056, -111.9400091)"
"Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Black Canyon, Cottonwood, Yavapai County, Arizona, 86316, United States","(34.6592415, -112.0521548)"
"Hayden, Gila County, Arizona, United States","(32.998027, -110.78085681694215)"
nan
nan
nan
"Claypool, Gila County, Arizona, United States","(33.4064295, -110.84306778166666)"
"Park, Cochise County, Arizona, United States","(31.355448, -110.3982805)"
nan
"Sun City West, Surprise, Maricopa County, Arizona, 85375-4416, United States","(33.6657535, -112.35505216920794)"
"Japanese Friendship Garden, North 3rd Avenue, Phoenix, Maricopa County, Arizona, 85004-1873, United States","(33.461066599999995, -112.0765637203252)"
nan
nan
nan
"Phoenix Sky Harbor International Airport, B16 Jetway, Phoenix, Maricopa County, Arizona, 85008, United States","(33.43289075, -112.00942230268426)"
"Kearny, Pinal County, Arizona, 85237, United States","(33.0570085, -110.9106656)"
"North Echo Canyon Lane, Block 3, Phoenix, Maricopa County, Arizona, 85018, United States","(33.5227229, -111.977082)"
"Benson, Cochise County, Arizona, United States","(31.9678611, -110.2945174)"
"Phoenix Sky Harbor International Airport, B16 Jetway, Phoenix, Maricopa County, Arizona, 85008, United States","(33.43289075, -112.00942230268426)"
"Yucca, Mohave County, Arizona, United States","(34.8726671, -114.1498589)"
"Littlefield, Beaver Dam, Mohave County, Arizona, 86432, United States","(36.8871992, -113.9296876)"
"North Echo Canyon Lane, Block 3, Phoenix, Maricopa County, Arizona, 85018, United States","(33.5227229, -111.977082)"
"Kearney Trail, Yavapai County, Arizona, 86342, United States","(34.613193, -111.7898585)"
nan
